codigo_comuna,nombre_comuna,pop_chilean,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,dependency_ratio,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,eno_rate_per_10k,log_pop_total,pct_unemployed,schooling_gap
5101,Valparaíso,272618.0,0.043237476222897614,36.8,30.1,11.4,11.9,53.9,46.98,24180,22541,1639,6.78,5.6,5.7,4.9,1.92,2.84,Embarazo y parto | Enfermedades circulatorias | Enfermedades digestivas,848.61,4821,4312,421,88,Sífilis | VIH | Tuberculosis,169.19,12.560026891725041,45.69789147112705,-0.5
5102,Casablanca,27607.0,0.075947248627661,34.5,28.7,10.8,10.3,56.4,44.21,2134,1963,171,8.01,4.8,4.9,4.1,1.78,2.15,Embarazo y parto | Enfermedades digestivas | Enfermedades respiratorias,714.29,312,278,29,5,Sífilis | Coqueluche | VIH,104.43,10.304810761476958,42.43041237113403,0.5
13101,Santiago,258429.0,0.40643568336070374,35.0,34.0,14.421517757972174,13.80532818251394,72.65863243384857,26.21068282540111,54929,35664,19265,35.072548198583625,6.682745162708883,7.682128988688165,4.817207689883391,1.6154854448469842,2.799978153616487,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",94607.302790217,12186,5059,3635,3492,VIH | Parotiditis | Sifilis,20988.63244919049,12.983985976109665,22.999884345123235,0.6161895754582343
13102,Cerrillos,71466.0,0.151214993230243,36.0,34.0,11.725,11.439,60.8,0.463,7623,6681,942,12.36,7.39,7.71,5.11,1.7,3.27,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),896.39,642,297,101,244,VIH | Parotiditis | Sifilis,75.49,11.340926446979191,37.88442955889688,0.2859999999999996
13103,Cerro Navia,113911.0,0.09694783573806881,38.0,32.0,10.307062317592152,11.639353856958914,0.5773410035155001,0.4774990043807248,27846,25523,2323,8.342311283487753,6.379049055519644,6.487638600478,5.185966422729229,1.4767650650003592,3.372118078000431,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95), Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",2207.5471698113206,1002,565,127,310,"VIH, Coqueluche, Parotiditis",79.43554780402727,11.745147680217642,99.41099071366607,-1.3322915393667625
13104,Conchalí,103271.0,0.14621725075853403,39.0,34.0,11.325066467264872,11.98365271802894,0.610039476045218,0.4786029599542751,10561,9346,1215,0.1150459236814695,6.366631947732222,6.6164134389043445,4.445267489711934,1.429504781744153,0.0368336331786762,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",868.596149259378,1134,635,188,311,VIH | Parotiditis | Sifilis,93.26654987786524,11.703190389518493,99.36934391851712,-0.6585862507640687
13105,El Bosque,143714.0,0.06900483267040669,37.0,31.0,10.971926269356342,12.114082741328875,58.93712654010893,0.4970013113236655,9517,9046,471,4.949038562572239,7.223915099295997,7.369334512491709,4.43099787685775,1.774613848901965,3.4254491961752653,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A), Cap.10  ENFERMEDADES DEL APARATO RESPIRATORIO (J00-J99), Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",612.9836335881796,1212,634,111,467,"VIH, Parotiditis, Coqueluche",78.06411305126339,11.94708168506975,40.228986423107735,-1.142156471972534
13107,Huechuraba,92790.0,0.08283994425279971,36.0,35.0,12.77,14.12,63.92,44.0,6170,5743,427,6.92,6.09,6.22,4.27,1.37,3.42,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",606.0,832,456,68,308,VIH | Parotiditis | Sifilis,81.72245796008173,11.524567433504155,35.095861462276744,-1.3499999999999996
13108,Independencia,64272.0,0.44678946462385954,36.0,33.0,12.854490256989552,12.936710529785609,67.16144308373858,39.83546377452797,10573,0,0,0.0,6.467889908256881,0.0,0.0,0.0,2.8563321668400645,,1006.952380952381,1642,607,786,0,,156.38095238095238,11.662895991546524,26.933510659666126,-0.08222027279605726
13109,La Cisterna,82209.0,0.19380019809553697,37.0,32.0,12.724804060352865,13.401106500691563,0.6740233337606916,0.4479394756049632,7338,6249,1089,0.1484055600981193,6.360997547015535,6.6426628260521685,4.744719926538108,1.6107931316434996,0.037884982284001,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",711.342904504784,714,333,149,232,VIH | Parotiditis | Coqueluche,69.21488604748102,11.532443738116108,99.30392751336397,-0.6763024403386986
